Timestamp,Open,High,Low,Close,Adj Close,Volume
8/7/2019,5975,6050,5905,6010,5373.160156,92102000
8/8/2019,6010,6080,5980,6005,5368.689941,58295500
8/9/2019,6055,6120,6055,6065,5422.33252,48118500
8/12/2019,6070,6080,6000,6040,5399.980469,52705000
8/13/2019,6000,6040,6000,6015,5377.629883,84406000
8/14/2019,6040,6060,5980,6010,5373.160156,81942000
8/15/2019,5920,6000,5860,6000,5364.220703,52561500
8/16/2019,6040,6040,5960,5960,5328.458496,49821500
8/19/2019,6030,6030,5965,6015,5377.629883,30619000
8/20/2019,6035,6035,5985,5985,5350.809082,58393500
8/21/2019,6000,6005,5975,5975,5341.868652,55927500
8/22/2019,5925,6000,5920,6000,5364.220703,65888000
8/23/2019,5920,5995,5905,5995,5359.749023,33083500
8/26/2019,5940,6000,5860,5990,5355.279785,41388500
8/27/2019,6040,6040,5950,6005,5368.689941,123780000
8/28/2019,6000,6020,5985,5995,5359.749023,55688000
8/29/2019,5990,6025,5985,6005,5368.689941,51525500
8/30/2019,6080,6100,6005,6100,5453.623047,73650000
9/2/2019,6100,6100,6000,6000,5364.220703,42429000
9/3/2019,6000,6055,6000,6055,5413.391602,42743500
9/4/2019,6060,6060,6005,6020,5382.100586,41979000
9/5/2019,6085,6085,6015,6040,5399.980469,53650500
9/6/2019,6060,6060,6025,6025,5386.569824,54349000
9/9/2019,6050,6055,5980,6035,5395.511719,25912000
9/10/2019,6020,6055,5985,6055,5413.391602,40291000
9/11/2019,6050,6100,6010,6100,5453.623047,45243500
9/12/2019,6100,6105,6010,6020,5382.100586,40034000
9/13/2019,6080,6090,6010,6030,5391.040527,28419500
9/16/2019,6000,6015,5985,6005,5368.689941,77289000
9/17/2019,5990,6035,5985,6030,5391.040527,92037500
9/18/2019,5990,6040,5990,6040,5399.980469,28667000
9/19/2019,6015,6045,6000,6030,5391.040527,61988500
9/20/2019,6050,6050,5990,5990,5355.279785,133433000
9/23/2019,6030,6030,6000,6025,5386.569824,47231500
9/24/2019,5980,6000,5940,5945,5315.047363,79718500
9/25/2019,5900,5935,5780,5935,5306.107422,88620000
9/26/2019,6000,6060,5970,6060,5417.861816,109859000
9/27/2019,6005,6075,6000,6070,5426.801758,48010000
9/30/2019,6070,6070,6005,6070,5426.801758,73391000
10/1/2019,6010,6065,6010,6040,5399.980469,40057000
10/2/2019,6010,6070,6010,6050,5408.921387,52376500
10/3/2019,6010,6045,5950,6040,5399.980469,50269000
10/4/2019,5980,6065,5980,6045,5404.451172,56890500
10/7/2019,6070,6080,6050,6070,5426.801758,56705500
10/8/2019,6080,6100,6015,6100,5453.623047,46997500
10/9/2019,6100,6100,6050,6070,5426.801758,41496500
10/10/2019,6020,6110,6020,6110,5462.563965,65806500
10/11/2019,6080,6155,6080,6125,5475.973633,40863500
10/14/2019,6130,6200,6130,6200,5543.026367,37514500
10/15/2019,6190,6190,6145,6175,5520.67627,40935000
10/16/2019,6200,6215,6175,6215,5556.437988,65776500
10/17/2019,6185,6210,6105,6115,5467.03418,45666500
10/18/2019,6160,6170,6140,6160,5507.265625,41008500
10/21/2019,6200,6255,6185,6220,5560.907715,59971500
10/22/2019,6270,6300,6225,6300,5632.430176,67259500
10/23/2019,6300,6305,6260,6275,5610.080078,62219000
10/24/2019,6290,6320,6270,6300,5632.430176,73101000
10/25/2019,6320,6325,6175,6200,5543.026367,61929500
10/28/2019,6200,6250,6200,6205,5547.49707,43249500
10/29/2019,6205,6240,6150,6220,5560.907715,79861500
10/30/2019,6280,6285,6200,6265,5601.139648,60738000
